time_s,channel,id,dlc,data
3.544647,B,0x108,8,1C0400020000000D
3.544663,B,0x1D8,8,2900000000006062
3.544669,B,0x126,5,01B01D2015
3.544677,B,0x1E5,8,02AC0400000060F8
3.544682,B,0x128,4,8000DB0A
3.544688,B,0x1D6,8,020804008A845A05
3.544693,B,0x268,5,0101FD00C3
3.544699,B,0x129,8,8D2A1C200020FF3F
3.544705,B,0x279,8,A9340D01A4056202
3.544710,B,0x229,3,8C0B00
3.544715,B,0x2B6,3,003000
3.544721,B,0x249,4,2A020000
3.544726,B,0x381,8,13000000000000FF
3.544732,B,0x383,8,97184F000A30A000
3.544738,B,0x263,8,030000000000004D
3.544743,B,0x2D2,8,582A1C50C409D514
3.544749,B,0x252,8,B924E24B00FC0F00
3.544754,B,0x212,8,5904000081FF7731
3.551154,A,0x219,3,047998
3.551431,A,0x102,8,22B38804964EA109
3.551556,A,0x7FF,8,09EF000000000000
3.551682,A,0x131,8,1300FB7F0140D5D5
3.551722,B,0x292,8,BE67DFFCF0010000
3.551727,B,0x2F2,2,1201
3.551732,B,0x395,8,010F134C0000067B
3.551737,B,0x397,8,000000D81D000008
3.551742,B,0x54F,8,1000000000000000
3.551747,B,0x272,8,06000F7908201920
3.551753,B,0x201,8,02D000402E00B839
3.551758,B,0x2E1,8,FB1919BBAF1D0B00
3.551763,B,0x423,7,00000000080000
3.551768,B,0x3F5,8,0000140884040000
3.551773,B,0x132,6,928CF2FF1B40
3.551778,B,0x401,8,0D2A538254825182
3.551783,B,0x118,8,FD6A320000480000
3.551788,B,0x113,3,010300
3.551793,B,0x1D8,8,2900000000008082
3.551799,B,0x2C1,8,0B1FFF0000000000
3.553002,A,0x141,8,3D00F2FFF6FFD73C
3.553134,A,0x129,8,7C2B1C200020FF3F
3.553800,A,0x318,8,1A061D0A121C47D7
3.553860,B,0x266,8,0000012200008801
3.553866,B,0x315,8,104C4C4A504DD07D
3.553871,B,0x1E5,8,02AC040000000098
3.553877,B,0x129,8,7C2B1C200020FF3F
3.553882,B,0x315,8,014D4D004B000000
3.553887,B,0x282,8,447CF105FC131324
3.553893,B,0x315,8,0200FFFFFFFF0000
3.553898,B,0x39A,8,E0FEC25607EBD22E
3.553904,B,0x243,8,045431FAFD7F575E
3.554403,B,0x2C3,8,5503A806000012A5
3.554408,B,0x315,8,FBFFFBFFFB0FC004
3.555512,A,0x209,8,09C4FFFFFFFFFF3F
3.555638,A,0x399,8,0106FFE0B048A11B
3.555763,A,0x261,8,A400D0570240E41F
3.555783,B,0x3A1,8,69903C833D00B065
3.555789,B,0x315,8,04FFFFFFFF4C4D49
3.555794,B,0x3C2,8,0055555500005945
3.555799,B,0x3B6,8,8610DC010000204C
3.555804,B,0x261,8,A400D0570240E41F
3.555809,B,0x3C2,8,0055555500005A45
3.556508,A,0x3C2,8,0055555500005A45
3.556633,A,0x370,8,91FF080320152E71
3.556653,B,0x3D5,8,4C4C4C4C4C330238
3.556659,B,0x3E2,7,0400000100F000
3.556664,B,0x3FE,8,7232C410430C011B
3.556669,B,0x7D5,8,2B00000000000000
3.557482,B,0x5D7,5,506E050002
3.557487,B,0x7D5,8,2C00000000000000
3.557492,B,0x335,8,24FF000500000000
3.557497,B,0x7D5,8,3200000000000000
3.558403,B,0x3A7,8,0000000000000000
3.558408,B,0x7D7,8,3201000000000000
3.558414,B,0x3B5,8,0000000000000000
3.559525,A,0x488,4,401407E7
3.559563,B,0x7D5,8,42F800B300002700
3.559568,B,0x3C5,8,0000000000000000
3.559573,B,0x219,7,04747400000000
3.559578,B,0x3E5,8,0000000000000000
3.559583,B,0x2D1,2,FF01
3.559588,B,0x367,8,0000000000000000
3.560504,A,0x031,3,355E02
3.560631,A,0x108,8,230B00020000000D
3.560756,A,0x052,8,91FF080220142E6F
3.560884,A,0x118,8,FE6B320000480000
3.560911,B,0x132,6,A28CF1FF1940
3.561055,B,0x1F8,4,00000000
3.561060,B,0x368,8,0000000000000000
3.561065,B,0x118,8,FE6B320000480000
3.561070,B,0x36B,8,0000000000000000
3.561075,B,0x266,8,0000012200008801
3.561518,A,0x131,8,0F00FEFF0240E565
3.561540,B,0x36E,8,0000000000000000
3.561545,B,0x1D8,8,290000000000A0A2
3.562510,A,0x101,8,11000000024075CA
3.562636,A,0x155,8,00000000AA038083
3.562762,A,0x111,8,3A008EFFFCFF774B
3.562887,A,0x175,8,00000000000080F6
3.562910,B,0x719,8,0C400F0050002000
3.562915,B,0x257,8,70461F0002A00F01
3.562921,B,0x2E3,7,F7D34F3FE5730E
3.562926,B,0x1E5,8,02AC0400000020B8
3.562932,B,0x129,8,1C2C1C200020FF3F
3.562937,B,0x743,1,22
3.562942,B,0x7D5,8,43B9C1B0B63B0000
3.563508,A,0x129,8,1C2C1C200020FF3F
3.563633,A,0x185,8,000000000000840A
3.563653,B,0x3A2,8,60C6F2900500CD70
3.563659,B,0x2E1,8,0400008048442612
3.563664,B,0x7D5,8,44904E6655480042
3.564508,A,0x2E1,8,0400008048442612
3.564633,A,0x2B9,8,140050A778BA776F
3.564654,B,0x263,8,04000000C0240000
3.564659,B,0x45A,8,0108F87F02000003
3.564664,B,0x545,8,010000000010005B
3.564669,B,0x22A,4,00008916
3.565508,A,0x383,8,60FCFF020000B02A
3.565626,A,0x39D,5,2259012800
3.565740,A,0x051,3,506F0A
3.565761,B,0x7D5,8,464A4A4A4A474A4A
3.565766,B,0x7F4,1,01
3.565771,B,0x7D5,8,484A49800940525A
3.565776,B,0x7FF,8,09EF000000000000
3.565781,B,0x318,8,1A061D0A121C47D7
3.566508,A,0x370,8,91FF080420152F73
3.566528,B,0x234,8,3530035E790520FF
3.566533,B,0x2F9,8,D0FB072000000000
3.566538,B,0x458,7,020B4000000000
3.566543,B,0x797,4,451DD0CD
3.567494,A,0x240,2,B977
3.567515,B,0x79F,1,41
3.567520,B,0x39D,5,2259012800
3.567525,B,0x289,8,B00804C29C003D0F
3.568508,A,0x257,8,70461F0002A00F01
3.569403,B,0x441,8,3701DFE160002DEE
3.570516,A,0x031,3,795F02
3.570643,A,0x052,8,91FF080320142F71
3.570760,A,0x225,4,55557A0A
3.570785,B,0x132,6,9E8CF1FF1940
3.570790,B,0x225,4,55557A0A
3.570795,B,0x401,8,0E2A5F8258825B82
3.570801,B,0x273,8,81A1100014003012
3.570806,B,0x294,8,14C3400000000000
3.570811,B,0x421,7,F0150000002048
3.571515,A,0x3FD,8,0100060021081280
3.571641,A,0x108,8,240C00020000000D
3.571662,B,0x3FD,8,0100060021081280
3.571668,B,0x118,8,FF6C320000480000
3.571673,B,0x1D8,8,290000000000C0C2
3.571678,B,0x201,8,03D0004026009839
3.572596,A,0x131,8,FDFFFEFFFE7FF59D
3.572722,A,0x261,8,F52421CA9A42F0FE
3.572847,A,0x141,8,4B00D6FFF1FFF749
3.572868,B,0x261,8,F52421CA9A42F0FE
3.572873,B,0x266,8,0000012200008801
3.572878,B,0x1E5,8,02AC0400000040D8
3.572884,B,0x129,8,0E2D1C200020FF3F
3.572889,B,0x2C1,8,040010000D111212
3.573510,A,0x129,8,0E2D1C200020FF3F
3.573530,B,0x3E8,8,0200000000000000
3.573540,B,0x3F9,8,0000000000000000
3.573545,B,0x443,6,7005FF030000
3.574403,B,0x243,8,00FCCF0C9E244D29
3.574408,B,0x461,8,0300F0FFFFFFFFFF
3.574413,B,0x4E2,8,45023301042F0000
3.575508,A,0x677,8,04450A210F1F0F04
3.575622,A,0x051,3,F3600A
3.575643,B,0x677,8,04450A210F1F0F04
3.575648,B,0x718,7,047A3C4E4C4800
3.575653,B,0x789,4,5519E050
3.575658,B,0x7BC,8,0102000100010000
3.575663,B,0x283,6,000000000000
3.576508,A,0x370,8,91FF080320152063
3.576528,B,0x2A7,8,0000000000A00584
3.577483,B,0x79F,1,41
3.578406,B,0x2A6,8,0000FF1F00000000
3.579508,A,0x259,8,D3C00225CA8C107B
3.579528,B,0x142,8,0100400A00210000
3.579533,B,0x2E1,8,658008004DC8336A
3.579538,B,0x381,8,54002000000070FE
3.580508,A,0x2E1,8,658008004DC8336A
3.580633,A,0x052,8,91FF080320142062
3.580758,A,0x3FE,8,144000080000C01D
3.580887,A,0x108,8,250D00020000000D
3.580908,B,0x132,6,9F8CF1FF1640
3.580913,B,0x22B,8,FFFFFFFFFFFFFFFF
3.580919,B,0x25B,8,D3C00225CA8C107B
3.580924,B,0x118,8,006D320000480000
3.580929,B,0x20E,2,1202
3.580934,B,0x266,8,0000012200008801
3.581508,A,0x118,8,006D320000480000
3.581626,A,0x3CB,5,0000000000
3.581647,B,0x257,8,71471F0002A00F01
3.581652,B,0x1D8,8,290000000000E0E2
3.581657,B,0x2C7,8,00000000004747FF
3.582508,A,0x111,8,400094FFF7FF8762
3.582633,A,0x131,8,0F0000800440050A
3.582759,A,0x155,8,00000000AA039093
3.582779,B,0x1E5,8,02AC0400000060F8
3.582784,B,0x339,8,0241020000064005
3.582789,B,0x3AE,8,144000080000C01D
3.582795,B,0x129,8,7C2E1C200120FF3F
3.582800,B,0x2A1,6,0000983A0000
3.583508,A,0x129,8,7C2E1C200120FF3F
3.583633,A,0x185,8,000000000000941A
3.583758,A,0x175,8,0000000000009006
3.583779,B,0x3C0,8,0100000000001001
3.583784,B,0x3C8,8,0300000000000000
3.583789,B,0x419,1,00
3.583794,B,0x552,8,000000000000E037
3.583799,B,0x263,8,C87D8506A04F5F1F
3.584496,A,0x219,3,057999
3.584517,B,0x2B3,8,06AFA6C70E7DF0D4
3.584522,B,0x7A8,8,94FDF16300008200
3.585494,A,0x240,2,BA78
3.585609,A,0x051,3,BF610A
3.586496,A,0x27D,3,010888
3.586622,A,0x370,8,91FF080320152164
3.586642,B,0x228,8,031154408000E436
3.587508,A,0x257,8,71471F0002A00F01
3.587631,A,0x420,7,2801404B000001
3.587652,B,0x1F9,8,0000000000000000
3.587657,B,0x261,8,00103500124D00D2
3.587662,B,0x221,8,610555550102A0D6
3.587667,B,0x420,7,2801404B000001
3.588508,A,0x221,8,610555550102A0D6
3.588633,A,0x310,8,0000000000000000
3.588747,A,0x5CF,3,696AA7
3.588768,B,0x103,8,22B34804B23A2132
3.588773,B,0x422,6,720604000000
3.588778,B,0x5CF,3,696AA7
3.588783,B,0x788,8,01000000FFA13816
3.590496,A,0x031,3,965102
3.590622,A,0x052,8,91FF080320142163
3.590642,B,0x132,6,A18CF1FF1940
3.590647,B,0x372,8,057A7B0D00000000
3.590652,B,0x401,8,0F2A608259825582
3.591508,A,0x118,8,016E320000480000
3.591633,A,0x108,8,260E00020000000D
3.591654,B,0x118,8,016E320000480000
3.591662,B,0x1D8,8,2900000000000002
3.591667,B,0x266,8,0000012200008801
3.591672,B,0x1E5,8,02AC040000000098
3.592508,A,0x131,8,0D00F7FF0240158C
3.592633,A,0x141,8,3300D3FFF4FF1751
3.592654,B,0x2C1,8,90447E00008A0207
3.592659,B,0x129,8,202F1C200020FF3F
3.592664,B,0x249,4,D3030000
3.593508,A,0x129,8,202F1C200020FF3F
3.593624,A,0x249,4,D3030000
3.593644,B,0x7B8,8,8C3B6E006400D083
3.594508,A,0x5D9,8,020000004B0FE502
3.594633,A,0x209,8,0AC5FFFFFFFFFF3F
3.594653,B,0x123,8,0100020000010000
3.594658,B,0x119,4,00000000
3.594663,B,0x243,8,01FC552551007373
3.595403,B,0x2C2,8,5563A906000012A5
3.595408,B,0x2E1,8,1021040012002008
3.596508,A,0x2E1,8,1021040012002008
